"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"163",2.64575131106459,0,0.959166304662544,1,1,0,0,0
"164",4.35889894354067,1.73205080756888,1.62480768092719,1,1,0,0,0
"165",4.47213595499958,1.4142135623731,1.0770329614269,0,1,0,0,0
"166",1,1,1.38924439894498,0,0,0,1,0
"167",1.4142135623731,1.73205080756888,2.23606797749979,0,0,0,0,1
"168",4.47213595499958,2,1.07238052947636,1,1,0,0,0
"169",1.73205080756888,1.4142135623731,1.17898261225516,0,0,1,0,0
"171",3.74165738677394,1.4142135623731,1.70880074906351,1,1,0,0,0
"172",1,1.73205080756888,1.6583123951777,0,0,1,0,0
"173",3.3166247903554,1.4142135623731,2.23606797749979,0,1,0,0,0
"174",2.44948974278318,1.4142135623731,0.99498743710662,1,0,1,0,0
"177",2,1.4142135623731,2.23606797749979,1,1,0,0,0
"178",4.47213595499958,1,1.47309198626562,0,1,0,0,0
"179",2.64575131106459,2,1.6583123951777,1,0,1,0,0
"180",2.23606797749979,2,0.866025403784439,0,0,0,0,1
"181",1.4142135623731,1.73205080756888,1.46628782986152,0,0,1,0,0
"182",4.47213595499958,1.73205080756888,1.28452325786651,1,1,0,0,0
"183",3.16227766016838,1.73205080756888,1.07238052947636,1,0,0,1,0
"185",3.74165738677394,2,1.86279360101972,0,0,1,0,0
"186",3,1.73205080756888,0.728010988928052,0,0,1,0,0
"187",1,2,2.23606797749979,0,1,0,0,0
"188",1.4142135623731,1.73205080756888,1.13578166916005,1,1,0,0,0
"189",2,1.4142135623731,0.223606797749979,0,0,0,1,0
"190",2,1.4142135623731,2.23606797749979,1,0,1,0,0
"192",4.47213595499958,1.4142135623731,1.19582607431014,1,1,0,0,0
"193",4.47213595499958,1.73205080756888,2.23606797749979,1,0,0,1,0
"194",1,1.73205080756888,2.23606797749979,0,1,0,0,0
"195",3.74165738677394,1.73205080756888,1.37477270848675,1,1,0,0,0
"196",1.4142135623731,1.4142135623731,1.00498756211209,1,1,0,0,0
"197",3,2,1.46628782986152,1,1,0,0,0
"198",2.23606797749979,1.4142135623731,0.574456264653803,0,0,0,0,1
"199",3.16227766016838,1.4142135623731,1.73493515728975,0,0,1,0,0
"200",3.60555127546399,1,1.26095202129185,1,1,0,0,0
"201",0,0,1.09087121146357,0,0,0,1,0
"202",1,1,1.14455231422596,0,0,1,0,0
"203",2,0,0.9,1,0,0,1,0
"204",4.47213595499958,1.4142135623731,1.09544511501033,0,0,1,0,0
"205",3.16227766016838,1.4142135623731,1.0770329614269,0,1,0,0,0
"206",4.47213595499958,1.4142135623731,0.62449979983984,0,1,0,0,0
"209",1.73205080756888,1.73205080756888,1.4142135623731,1,0,0,1,0
"210",4.47213595499958,0,1.04880884817015,0,1,0,0,0
"211",1,2,2.23606797749979,1,0,1,0,0
"212",2,2,1.62480768092719,1,0,0,0,1
"213",1.73205080756888,1.4142135623731,1.552417469626,1,1,0,0,0
"214",4.47213595499958,1.73205080756888,2.23606797749979,1,1,0,0,0
"215",4.47213595499958,1.73205080756888,1.40712472794703,0,1,0,0,0
"218",3.74165738677394,1,1.89208879284245,1,0,0,1,0
"219",3.3166247903554,0,0.989949493661167,0,0,0,1,0
"220",2.44948974278318,1,1.09544511501033,1,0,0,0,1
"222",1,2,2.22710574513201,0,1,0,0,0
"224",4.47213595499958,1.73205080756888,1.84390889145858,0,1,0,0,0
"225",4.47213595499958,1.4142135623731,1.64924225024706,0,1,0,0,0
"226",4,0,0.905538513813742,0,0,0,0,1
"227",4.47213595499958,2,2.07364413533277,1,1,0,0,0
"228",4.35889894354067,1.4142135623731,1.05830052442584,0,1,0,0,0
"229",0,1.73205080756888,0.94339811320566,0,0,0,1,0
"230",0,1.73205080756888,1.47309198626562,0,0,0,1,0
"231",3,2,2.23606797749979,1,0,1,0,0
"232",2.44948974278318,1.4142135623731,2.23606797749979,0,1,0,0,0
"234",1.73205080756888,1.4142135623731,2.21810730128188,0,0,0,1,0
"235",1.73205080756888,2,1.3114877048604,1,0,0,0,1
"236",1.4142135623731,1,1.24899959967968,0,0,0,1,0
"237",0,1.4142135623731,0.94339811320566,1,0,0,1,0
"239",3.46410161513775,1.4142135623731,1.17898261225516,1,0,0,1,0
"240",2.44948974278318,0,1.17473401244707,1,0,0,1,0
"242",2.23606797749979,1.73205080756888,2.23606797749979,1,1,0,0,0
"243",1.73205080756888,1.73205080756888,2.11660104885167,0,0,0,1,0
"244",3,1.4142135623731,1.05830052442584,1,0,0,0,1
"245",2,2,1.51657508881031,0,0,1,0,0
"246",1,1.73205080756888,2.14009345590327,1,0,1,0,0
"248",2,1.73205080756888,2.18174242292714,0,1,0,0,0
"249",3.16227766016838,1.73205080756888,2.23606797749979,0,1,0,0,0
"250",4.24264068711928,1.4142135623731,1.15758369027902,0,1,0,0,0
"251",3.87298334620742,0,1.64620776331543,1,0,1,0,0
"252",4.47213595499958,2,1.30384048104053,1,1,0,0,0
"253",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"255",3,2,2.23606797749979,1,1,0,0,0
