"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"545",2,2,1.74928556845359,1,0,0,0,1
"546",2.23606797749979,2,2.23606797749979,1,1,0,0,0
"547",3.16227766016838,1.73205080756888,1.99248588451713,0,1,0,0,0
"549",3.60555127546399,2,1.74355957741627,1,0,0,1,0
"550",4.47213595499958,1.73205080756888,0.883176086632785,0,0,1,0,0
"551",2.23606797749979,1.73205080756888,2.23606797749979,0,1,0,0,0
"552",3.74165738677394,1.73205080756888,1.84390889145858,0,1,0,0,0
"553",0,1.73205080756888,2.1142374511866,1,0,0,1,0
"554",4.47213595499958,1,2.23606797749979,0,1,0,0,0
"556",1.4142135623731,1,1.14017542509914,0,0,1,0,0
"557",2.23606797749979,1.4142135623731,1.96214168703486,0,0,1,0,0
"558",3,2,1.44913767461894,1,0,0,0,1
"559",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"560",4,1.4142135623731,1.76918060129541,0,1,0,0,0
"561",2.82842712474619,1.73205080756888,1.90787840283389,0,0,0,0,1
"562",3.46410161513775,2,1.8165902124585,0,1,0,0,0
"563",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"564",2.64575131106459,2,2.01990098767242,0,0,1,0,0
"565",1,1.73205080756888,1.62788205960997,0,0,1,0,0
"568",3.3166247903554,2,2.22710574513201,1,1,0,0,0
"569",3.46410161513775,1,1.19582607431014,0,0,1,0,0
"570",4.24264068711928,1.73205080756888,1.05356537528527,1,1,0,0,0
"571",3.74165738677394,1,1.0770329614269,1,1,0,0,0
"574",0,2,2.23606797749979,0,0,0,1,0
"575",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"576",1.4142135623731,1.4142135623731,1.74928556845359,1,0,1,0,0
"577",4.47213595499958,1.73205080756888,1.94935886896179,1,1,0,0,0
"578",1.73205080756888,2,2.23606797749979,0,1,0,0,0
"579",0,0,1.14891252930761,0,0,0,1,0
"581",1.4142135623731,2,1.69705627484771,1,0,1,0,0
"582",1.73205080756888,1,0.883176086632785,0,0,1,0,0
"583",4.47213595499958,1.4142135623731,0.734846922834953,0,1,0,0,0
"584",3.3166247903554,2,2.23606797749979,1,1,0,0,0
"585",2,1.4142135623731,1.36014705087354,0,0,0,1,0
"586",1,1,1.54596248337403,0,0,1,0,0
"587",4.47213595499958,2,2.23606797749979,1,0,0,0,1
"588",3.16227766016838,1,0.866025403784439,1,0,1,0,0
"589",2,1,1.51986841535707,0,0,0,1,0
"590",2.23606797749979,2,2.23606797749979,1,1,0,0,0
"591",2,0,1.12249721603218,0,0,0,1,0
"592",4.47213595499958,1,0.905538513813742,1,1,0,0,0
"594",1.73205080756888,2,2.01990098767242,0,1,0,0,0
"596",4.47213595499958,1.4142135623731,2.00499376557634,0,1,0,0,0
"597",2.82842712474619,1.4142135623731,1.74068951855292,1,0,1,0,0
"599",4.47213595499958,1.73205080756888,2.23606797749979,1,1,0,0,0
"600",3.3166247903554,2,1.58429795177549,0,1,0,0,0
"601",0,2,2.23606797749979,1,0,0,1,0
"602",4.12310562561766,1.73205080756888,0.91104335791443,0,1,0,0,0
"605",4.47213595499958,1.73205080756888,2.23606797749979,0,1,0,0,0
"606",2,1.73205080756888,2.23606797749979,1,1,0,0,0
"607",4.12310562561766,1.4142135623731,1.40712472794703,1,0,1,0,0
"608",2.82842712474619,1,0.92736184954957,0,1,0,0,0
"609",2.44948974278318,1.73205080756888,1.113552872566,1,0,1,0,0
"610",1,2,2.23606797749979,1,0,1,0,0
"611",0,1.73205080756888,1.51657508881031,1,0,0,0,1
"612",1.73205080756888,1.4142135623731,1.8165902124585,0,1,0,0,0
"613",3.60555127546399,2,2.05669638012031,1,0,0,0,1
"614",1.73205080756888,0,2.23606797749979,1,0,1,0,0
"615",3,1.73205080756888,0.854400374531753,0,0,0,1,0
"616",3.74165738677394,1,1.08627804912002,0,0,0,0,1
"617",3.74165738677394,2,1.34164078649987,1,0,0,0,1
"618",3.16227766016838,1.4142135623731,1.62480768092719,0,0,1,0,0
"619",3.16227766016838,1,0.888819441731559,1,0,0,1,0
"620",3.16227766016838,1.73205080756888,1.0770329614269,0,0,1,0,0
"621",1,1.73205080756888,2.23606797749979,1,1,0,0,0
"623",0,1.73205080756888,2.23606797749979,1,1,0,0,0
"624",3.16227766016838,1.73205080756888,1.79722007556114,1,1,0,0,0
"625",3.74165738677394,1.4142135623731,2.14242852856286,1,1,0,0,0
"626",3.16227766016838,1.73205080756888,2.23606797749979,0,1,0,0,0
"628",3.16227766016838,2,2.23606797749979,0,0,0,0,1
"629",4.47213595499958,0,1.28452325786651,0,0,1,0,0
"630",2.44948974278318,2,2.23606797749979,0,0,1,0,0
"631",3.74165738677394,2,2.23606797749979,0,0,1,0,0
"632",4.35889894354067,1.73205080756888,1.16619037896906,1,0,1,0,0
"633",3,1.73205080756888,1.84390889145858,1,1,0,0,0
"634",3.16227766016838,1.4142135623731,1.20415945787923,0,0,1,0,0
"635",1.73205080756888,1.73205080756888,1.6431676725155,1,0,1,0,0
"636",2.23606797749979,2,2.23606797749979,1,1,0,0,0
"637",0,1.4142135623731,0.854400374531753,1,1,0,0,0
"638",0,2,1.87349939951952,1,1,0,0,0
"639",3.60555127546399,1.73205080756888,1.62480768092719,0,0,1,0,0
"640",2.44948974278318,1.73205080756888,0.894427190999916,0,1,0,0,0
"641",1.4142135623731,1,0.8,0,0,0,1,0
"642",2,1.73205080756888,1.40712472794703,1,0,0,1,0
"643",1,1.4142135623731,1.09087121146357,1,0,0,1,0
"644",2,1.73205080756888,2.23606797749979,0,0,1,0,0
"645",2,2,2.23606797749979,1,0,0,1,0
"646",3.46410161513775,1.4142135623731,1.42828568570857,0,1,0,0,0
"647",2,2,2.23606797749979,1,1,0,0,0
"649",3,1,1.00498756211209,0,0,1,0,0
"650",4.24264068711928,2,1.99248588451713,1,0,0,0,1
"652",3.16227766016838,1.73205080756888,2.23606797749979,0,1,0,0,0
"653",2.82842712474619,1.73205080756888,1.16619037896906,1,1,0,0,0
"655",2,1.73205080756888,2.23606797749979,0,1,0,0,0
"658",4.47213595499958,0,0.948683298050514,0,1,0,0,0
"659",2.23606797749979,0,0.818535277187245,1,0,0,1,0
"660",0,1.4142135623731,0.818535277187245,1,1,0,0,0
"661",3.87298334620742,0,1.16619037896906,1,0,0,1,0
"662",2.44948974278318,2,1.35277492584687,1,0,0,0,1
"663",2,1.4142135623731,2.01990098767242,1,0,1,0,0
"664",2,2,2.23606797749979,0,1,0,0,0
"666",2.82842712474619,0,0.969535971483266,0,0,0,1,0
"667",3.60555127546399,1.73205080756888,1.00498756211209,1,0,0,0,1
"668",3.60555127546399,1,1.72046505340853,0,0,0,1,0
"670",4.47213595499958,1.4142135623731,1.26885775404495,0,1,0,0,0
"671",2.82842712474619,1.73205080756888,1.05830052442584,1,0,0,1,0
"672",3.16227766016838,1.4142135623731,2.01990098767242,1,1,0,0,0
"673",3.74165738677394,0,1.06301458127346,1,0,1,0,0
"675",3.46410161513775,1.4142135623731,0.91104335791443,0,1,0,0,0
"676",1,2,1.99248588451713,0,0,1,0,0
"677",3.87298334620742,2,1.35646599662505,1,0,1,0,0
"678",2.23606797749979,1.73205080756888,1.76918060129541,0,1,0,0,0
"680",3,1.73205080756888,1.10453610171873,0,0,0,0,1
"681",1.4142135623731,1.73205080756888,2.23606797749979,0,1,0,0,0
"682",4.47213595499958,1.4142135623731,1.27671453348037,0,1,0,0,0
"683",4,0,0.932737905308881,1,0,1,0,0
"684",0,1.4142135623731,2.00249843945008,1,1,0,0,0
"685",2,1,0.883176086632785,1,0,1,0,0
"686",2.82842712474619,1.4142135623731,1.40712472794703,0,0,1,0,0
"687",3.46410161513775,0,1.85472369909914,1,1,0,0,0
"688",4.12310562561766,0,1.42828568570857,1,0,1,0,0
"689",1.73205080756888,1.73205080756888,2.23606797749979,0,0,1,0,0
"690",0,1.73205080756888,1.6062378404209,1,0,1,0,0
"691",3.46410161513775,2,1.46628782986152,1,1,0,0,0
"692",1.4142135623731,1.73205080756888,1.3228756555323,1,1,0,0,0
"693",3.46410161513775,1.4142135623731,1.20415945787923,1,0,1,0,0
"694",3.60555127546399,1,1.06301458127346,0,1,0,0,0
"695",3.87298334620742,1.73205080756888,1.9,1,1,0,0,0
"696",4.12310562561766,1.4142135623731,0.812403840463596,0,0,0,1,0
"697",4,1,1.84390889145858,1,1,0,0,0
"698",2.82842712474619,2,2.23606797749979,1,1,0,0,0
"699",2.64575131106459,0,0.848528137423857,0,0,1,0,0
"700",4.24264068711928,2,2.23606797749979,1,1,0,0,0
"701",4.24264068711928,0,0.94339811320566,0,0,0,1,0
"702",2.44948974278318,0,0.818535277187245,0,0,0,1,0
"703",2.44948974278318,1.73205080756888,1.54272486205415,1,0,1,0,0
"705",2.64575131106459,0,1.31909059582729,1,0,0,1,0
"706",3.3166247903554,1,1.113552872566,0,1,0,0,0
"708",2,1.4142135623731,0.871779788708135,0,0,1,0,0
"709",3.87298334620742,1.73205080756888,0.959166304662544,0,1,0,0,0
"710",4,2,2.00748598998847,1,1,0,0,0
"711",0,2,2.23606797749979,1,0,1,0,0
"713",2.64575131106459,0,1.42828568570857,1,0,0,1,0
"715",2.82842712474619,1.4142135623731,0.8,0,0,0,1,0
"717",4.47213595499958,2,1.03923048454133,1,0,0,0,1
"718",3.74165738677394,1,0.938083151964686,0,1,0,0,0
"719",4.24264068711928,1,1.43527000944073,0,0,1,0,0
"720",3.60555127546399,1.73205080756888,2.23606797749979,0,1,0,0,0
"721",2.64575131106459,1,1.51986841535707,1,0,1,0,0
"722",4.47213595499958,2,1.35646599662505,0,1,0,0,0
"723",4.47213595499958,0,1.07238052947636,0,1,0,0,0
"724",4.47213595499958,2,1.03440804327886,1,1,0,0,0
"725",2.23606797749979,1.4142135623731,1.26885775404495,1,1,0,0,0
"726",2.82842712474619,1,0.824621125123532,0,0,1,0,0
"728",4.12310562561766,1,1.26885775404495,0,1,0,0,0
"729",4.12310562561766,0,0.938083151964686,1,1,0,0,0
"730",0,1,1.15758369027902,0,0,0,1,0
"731",3.16227766016838,2,1.7,0,0,0,1,0
"732",3.74165738677394,2,1.0770329614269,0,1,0,0,0
"733",3.46410161513775,1.73205080756888,1.61245154965971,1,1,0,0,0
"734",3.46410161513775,2,1.77200451466693,1,0,0,1,0
"735",1.4142135623731,1.73205080756888,0.989949493661167,1,1,0,0,0
"736",3.87298334620742,1.4142135623731,1.42828568570857,1,1,0,0,0
"737",1,1.73205080756888,0.685565460040104,0,0,1,0,0
"738",3.60555127546399,1.73205080756888,2.23606797749979,0,1,0,0,0
"739",3.16227766016838,2,2.01990098767242,1,1,0,0,0
"740",0,2,1.19582607431014,1,0,0,1,0
"742",4.47213595499958,0,1.42828568570857,1,1,0,0,0
"743",1,2,2.23606797749979,1,0,0,0,1
"744",3.74165738677394,2,2.23606797749979,1,1,0,0,0
"745",1,0,1.15758369027902,1,0,0,1,0
"748",2,1.4142135623731,2.23606797749979,1,1,0,0,0
"749",4.47213595499958,1.4142135623731,1.27279220613579,1,1,0,0,0
"750",4.12310562561766,1,1.03440804327886,0,0,1,0,0
"751",4.47213595499958,1,0.932737905308881,0,1,0,0,0
"752",2.23606797749979,1,1.21243556529821,0,0,0,1,0
"754",2.23606797749979,2,0.692820323027551,1,0,0,1,0
"755",4.47213595499958,2,0.905538513813742,1,0,0,0,1
"756",1,1,1.14891252930761,1,0,1,0,0
"757",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"758",0,1.73205080756888,2.23606797749979,0,1,0,0,0
"759",4,1.4142135623731,1.42126704035519,0,1,0,0,0
"760",3.16227766016838,1.4142135623731,1.28452325786651,1,1,0,0,0
"761",4.47213595499958,1.73205080756888,1.33790881602597,0,1,0,0,0
"762",4.35889894354067,1.73205080756888,1.51986841535707,0,0,0,1,0
"763",1.4142135623731,1.73205080756888,1.96214168703486,0,0,1,0,0
"764",3,1.73205080756888,0.812403840463596,0,0,0,1,0
"765",2,0,0.812403840463596,0,0,0,1,0
"766",3.87298334620742,1,0.959166304662544,0,0,1,0,0
"767",4.47213595499958,2,1.99248588451713,0,0,1,0,0
"768",4,1.4142135623731,2.08566536146142,1,0,1,0,0
"769",3.60555127546399,1.73205080756888,2.23606797749979,1,0,0,1,0
"770",1.4142135623731,1.73205080756888,2.18174242292714,0,0,0,0,1
"771",1,2,2.151743479135,0,1,0,0,0
"772",4.35889894354067,2,1.9157244060668,1,1,0,0,0
"773",4.35889894354067,1.4142135623731,1.09087121146357,1,1,0,0,0
"774",4,1,1.21655250605964,0,1,0,0,0
"775",2.64575131106459,2,0.574456264653803,1,0,0,0,1
"776",3.3166247903554,0,1.28452325786651,0,1,0,0,0
"777",1.73205080756888,1.73205080756888,1.77200451466693,0,0,1,0,0
"778",2.82842712474619,1.73205080756888,0.916515138991168,0,0,1,0,0
"779",2.82842712474619,0,0.768114574786861,1,0,0,0,1
"781",4.47213595499958,1.73205080756888,1.12249721603218,0,1,0,0,0
"782",3,1.73205080756888,1.87882942280559,1,0,1,0,0
"783",0,1.73205080756888,2.19544984001001,0,1,0,0,0
"784",2.64575131106459,1,0.974679434480896,0,1,0,0,0
"786",1.73205080756888,2,2.23606797749979,1,0,0,0,1
"787",4.47213595499958,0,1.74355957741627,0,0,0,1,0
"788",1.4142135623731,1.73205080756888,2.23606797749979,0,0,0,0,1
"789",1.73205080756888,1.4142135623731,2.22710574513201,0,0,0,0,1
"790",1.73205080756888,1,0.9,1,1,0,0,0
"791",4.47213595499958,0,0.938083151964686,0,1,0,0,0
"793",2.23606797749979,0,1.40712472794703,1,0,0,1,0
"794",4,1.73205080756888,2.23606797749979,1,1,0,0,0
"795",3.16227766016838,1.4142135623731,1.04880884817015,0,0,1,0,0
"796",4.12310562561766,2,2.03224014329016,1,1,0,0,0
"797",4.47213595499958,0,1.10453610171873,1,1,0,0,0
"798",2,1.4142135623731,2.23606797749979,0,0,1,0,0
"799",3.16227766016838,1.73205080756888,0.989949493661167,0,1,0,0,0
"800",2.44948974278318,0,1.39642400437689,1,0,0,1,0
"802",2.64575131106459,1.4142135623731,1.29614813968157,0,0,0,0,1
"803",1.73205080756888,1.73205080756888,1.99248588451713,0,1,0,0,0
"804",3,1.73205080756888,0.883176086632785,1,0,0,0,1
"805",3.46410161513775,1.73205080756888,1.40712472794703,1,0,0,1,0
"807",1.4142135623731,2,2.151743479135,1,1,0,0,0
"808",2,1.73205080756888,2.23606797749979,1,0,1,0,0
"809",1.4142135623731,1,0,1,0,1,0,0
"811",4,0,1.35646599662505,1,0,0,1,0
"812",1.4142135623731,1.73205080756888,1.12249721603218,0,1,0,0,0
"813",3.60555127546399,1.4142135623731,1.93390796058137,0,1,0,0,0
"814",0,2,1.85472369909914,0,0,0,0,1
"815",1.4142135623731,1.73205080756888,1.13578166916005,1,0,0,1,0
"816",4.47213595499958,1.73205080756888,1.0770329614269,0,1,0,0,0
"818",2.64575131106459,1.73205080756888,2.23606797749979,1,0,1,0,0
"819",4.35889894354067,1.73205080756888,1.0770329614269,0,0,0,0,1
"820",4.47213595499958,0,0.974679434480896,0,1,0,0,0
"821",2.64575131106459,0,1.10453610171873,1,0,1,0,0
"822",3.3166247903554,1,0.818535277187245,0,0,1,0,0
"823",4.47213595499958,1,1.14891252930761,1,1,0,0,0
"824",1.73205080756888,1,0.4,0,0,1,0,0
"825",2.44948974278318,0,1.15758369027902,1,0,0,1,0
"826",2,2,2.23606797749979,0,0,1,0,0
"827",0,2,2.23606797749979,1,1,0,0,0
"828",0,2,1.49666295470958,0,0,1,0,0
"829",4.24264068711928,0,0.969535971483266,0,0,0,1,0
"831",4.35889894354067,1.4142135623731,1.85472369909914,0,1,0,0,0
"832",2.64575131106459,1.73205080756888,2.23606797749979,0,0,0,0,1
"834",3.3166247903554,2,2.23606797749979,0,1,0,0,0
"835",0,1,1,0,0,1,0,0
"836",4.47213595499958,1,1.11803398874989,1,0,1,0,0
"838",2.23606797749979,2,2.23606797749979,1,0,0,1,0
"839",4.47213595499958,1.73205080756888,2.23606797749979,0,1,0,0,0
"840",3.46410161513775,0,2.23606797749979,1,1,0,0,0
"841",2.44948974278318,1.73205080756888,1.74928556845359,1,1,0,0,0
"842",2.23606797749979,0,0.741619848709566,0,0,0,1,0
"845",0,1.73205080756888,0.360555127546399,0,1,0,0,0
"846",2.23606797749979,1.73205080756888,1.64924225024706,1,0,1,0,0
"847",1.73205080756888,2,1.99248588451713,0,0,1,0,0
"848",3.16227766016838,1,2.23606797749979,1,1,0,0,0
"849",2.23606797749979,2,1.6062378404209,1,1,0,0,0
"850",4.35889894354067,1,1.19582607431014,1,0,1,0,0
"851",3.46410161513775,1.73205080756888,1.18743420870379,1,1,0,0,0
"852",1.73205080756888,1,1.13578166916005,1,0,1,0,0
"854",0,2,2.07364413533277,0,0,0,1,0
"856",4.47213595499958,1,1.11803398874989,0,1,0,0,0
"859",4.47213595499958,2,1.41774468787578,0,1,0,0,0
"862",2.82842712474619,1.4142135623731,2.23606797749979,1,0,1,0,0
"863",1.73205080756888,1.4142135623731,2.23606797749979,1,0,1,0,0
"864",2.23606797749979,1.4142135623731,1.35646599662505,0,0,0,0,1
"865",4.47213595499958,1.4142135623731,0.905538513813742,0,0,0,1,0
"866",1.73205080756888,2,2.23606797749979,0,0,1,0,0
"867",4.35889894354067,2,2.23606797749979,0,1,0,0,0
"870",4.47213595499958,2,1.0770329614269,1,1,0,0,0
"871",3.87298334620742,0,0.678232998312527,1,0,0,1,0
"872",3.46410161513775,1.4142135623731,1.69115345252878,0,1,0,0,0
"873",0,2,2.11896201004171,1,1,0,0,0
"874",4.47213595499958,1.73205080756888,1.4525839046334,0,1,0,0,0
"875",3.16227766016838,2,2.23606797749979,1,1,0,0,0
"877",1.4142135623731,0,1.28452325786651,1,0,1,0,0
"878",3.87298334620742,1.73205080756888,1.04880884817015,1,0,1,0,0
"879",1,1.73205080756888,2.23606797749979,0,0,1,0,0
"880",1.4142135623731,2,1.09087121146357,1,1,0,0,0
"881",3.74165738677394,1.4142135623731,1.17898261225516,1,1,0,0,0
"882",3.16227766016838,1,2.23606797749979,0,1,0,0,0
"883",3.74165738677394,1.4142135623731,1.0770329614269,1,1,0,0,0
"884",4.24264068711928,1.73205080756888,1.05830052442584,0,0,0,0,1
"886",1.73205080756888,1.73205080756888,1.552417469626,1,1,0,0,0
"887",0,1.73205080756888,1.99248588451713,1,1,0,0,0
"888",0,2,1.27279220613579,1,0,0,0,1
"889",1,1,1.13578166916005,1,0,1,0,0
"890",4.47213595499958,1.4142135623731,2.23606797749979,0,0,1,0,0
"891",2,1.4142135623731,0.848528137423857,0,0,1,0,0
"892",1.73205080756888,2,1.94422220952236,0,1,0,0,0
"893",3.3166247903554,1.73205080756888,2.23606797749979,1,0,1,0,0
"894",4.47213595499958,1.73205080756888,1.12249721603218,0,1,0,0,0
"895",1,1.73205080756888,1.21655250605964,1,0,0,1,0
"896",3.74165738677394,1.4142135623731,1.99248588451713,0,1,0,0,0
"899",3.16227766016838,1.73205080756888,1.57797338380595,0,0,0,1,0
"901",4.47213595499958,1.4142135623731,1.84390889145858,1,0,0,0,1
"902",4.47213595499958,2,1.41774468787578,1,1,0,0,0
"903",3,1,1.39283882771841,0,1,0,0,0
"904",2.44948974278318,1.73205080756888,2.23606797749979,1,0,0,1,0
"905",2,1,1.74355957741627,0,0,0,1,0
"907",1.73205080756888,0,1.05830052442584,1,0,1,0,0
"909",4.24264068711928,1,1.77200451466693,1,0,1,0,0
"911",3.74165738677394,1.73205080756888,0.964365076099296,1,1,0,0,0
"912",3.16227766016838,2,2.01990098767242,0,0,0,0,1
"913",2.23606797749979,1.73205080756888,1.04880884817015,0,0,1,0,0
"914",1.73205080756888,1.4142135623731,0.793725393319377,1,0,0,0,1
"915",3.16227766016838,1,1.77200451466693,0,0,0,1,0
"916",3.16227766016838,1.73205080756888,1.33790881602597,0,1,0,0,0
"918",3.46410161513775,0,1.51327459504216,1,0,0,0,1
"919",4.47213595499958,1.4142135623731,0.883176086632785,1,0,0,1,0
"920",2.64575131106459,1,1.05830052442584,0,0,1,0,0
"923",2.82842712474619,2,1.64924225024706,0,0,0,0,1
"924",2.82842712474619,1.73205080756888,0.883176086632785,0,1,0,0,0
"925",3,1,1.21243556529821,0,0,0,1,0
"926",4.35889894354067,1.4142135623731,1.51986841535707,0,1,0,0,0
"927",1,1.73205080756888,1.113552872566,0,1,0,0,0
"928",1,0,1.30384048104053,1,0,0,1,0
"929",4.12310562561766,1.4142135623731,0.806225774829855,0,0,1,0,0
"930",2,2,1.51657508881031,0,1,0,0,0
"931",4.47213595499958,1,1.56524758424985,1,1,0,0,0
"932",4.24264068711928,1.4142135623731,0.932737905308881,0,1,0,0,0
"933",1.73205080756888,1.73205080756888,2.23606797749979,0,0,1,0,0
"935",4.12310562561766,1.73205080756888,1.10453610171873,0,1,0,0,0
"936",2.23606797749979,1,1.22882057274445,1,0,1,0,0
"937",3,1.73205080756888,1.42828568570857,0,1,0,0,0
"939",3.16227766016838,1.73205080756888,1.6583123951777,0,1,0,0,0
"940",4.47213595499958,1.73205080756888,1.33790881602597,0,1,0,0,0
"941",0,1.73205080756888,2.23606797749979,1,0,1,0,0
"942",0,1.4142135623731,1.79443584449264,0,0,1,0,0
"944",2.44948974278318,1.73205080756888,1.50996688705415,1,0,0,0,1
"945",1.73205080756888,0,0.447213595499958,1,0,1,0,0
"946",2.44948974278318,2,1.67928556237467,0,1,0,0,0
"947",2.64575131106459,0,0.938083151964686,1,0,0,1,0
"948",4.47213595499958,0,1.26885775404495,0,0,1,0,0
"949",1,1.4142135623731,1.05356537528527,0,1,0,0,0
"951",1.4142135623731,0,0.509901951359279,0,0,0,0,1
"952",4.47213595499958,1.4142135623731,1.64012194668567,1,1,0,0,0
"955",2,1,1.8,1,0,0,0,1
"956",2.64575131106459,2,2.20454076850486,1,0,1,0,0
"958",4.47213595499958,1.4142135623731,0.959166304662544,1,1,0,0,0
"959",3.60555127546399,2,1.48323969741913,0,1,0,0,0
"960",1.4142135623731,0,1.01980390271856,0,0,0,1,0
"961",1,1.73205080756888,2.1,0,1,0,0,0
"962",3.60555127546399,1,0.969535971483266,1,0,0,1,0
"963",3.16227766016838,1.73205080756888,1.64924225024706,0,1,0,0,0
"965",2.23606797749979,2,2.23606797749979,0,1,0,0,0
"966",3.87298334620742,2,1.58429795177549,0,1,0,0,0
"967",2.64575131106459,0,0.871779788708135,1,1,0,0,0
"968",2,2,2.23606797749979,0,0,1,0,0
"969",1.4142135623731,1.73205080756888,1.14017542509914,1,0,0,1,0
"970",3.60555127546399,2,2.151743479135,0,0,0,0,1
"971",4.35889894354067,0,1.27671453348037,0,1,0,0,0
"974",1,0,0.806225774829855,0,0,0,1,0
"975",4.47213595499958,1,2.18174242292714,1,0,1,0,0
"976",4.47213595499958,1.73205080756888,1.03440804327886,1,1,0,0,0
"977",2,1.73205080756888,2.23606797749979,1,1,0,0,0
"978",1,1.73205080756888,1.18321595661992,0,1,0,0,0
"979",3.16227766016838,1.73205080756888,1.29614813968157,1,0,0,0,1
"982",4.24264068711928,2,2.151743479135,1,0,0,0,1
"983",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"984",2.23606797749979,2,1.14455231422596,1,1,0,0,0
"985",3.60555127546399,2,1.69115345252878,1,1,0,0,0
"986",3.74165738677394,1.73205080756888,2.22710574513201,1,1,0,0,0
"988",4.47213595499958,1.4142135623731,0.812403840463596,1,1,0,0,0
"989",1.4142135623731,1.4142135623731,1.6583123951777,1,0,1,0,0
"991",4.35889894354067,2,2.22710574513201,0,0,1,0,0
"992",0,2,2.04939015319192,1,0,1,0,0
"993",4.47213595499958,2,1.9157244060668,1,1,0,0,0
"994",3.87298334620742,1.4142135623731,1.04880884817015,0,1,0,0,0
"995",3.16227766016838,1.73205080756888,1.39283882771841,1,1,0,0,0
"996",1.4142135623731,1.73205080756888,0.8,1,0,1,0,0
"997",4.47213595499958,1.73205080756888,2.07364413533277,0,1,0,0,0
"998",3.74165738677394,1.73205080756888,2.23606797749979,1,0,1,0,0
"999",3.87298334620742,1.4142135623731,1.74355957741627,1,1,0,0,0
"1000",3.74165738677394,0,1.86279360101972,0,0,0,0,1
"1001",3.74165738677394,1,1.30384048104053,1,0,0,1,0
"1002",3.74165738677394,1.4142135623731,2.22710574513201,0,1,0,0,0
"1003",4.47213595499958,1.4142135623731,0.989949493661167,1,1,0,0,0
"1004",3.46410161513775,1.73205080756888,2.23606797749979,1,0,1,0,0
"1005",4.35889894354067,1.73205080756888,0.8,0,0,0,1,0
"1008",4.47213595499958,2,1.58429795177549,0,1,0,0,0
"1009",2,2,2.23606797749979,0,1,0,0,0
"1011",0,0,1.43874945699382,0,0,0,1,0
"1012",4.47213595499958,2,2.23606797749979,0,1,0,0,0
"1013",2.64575131106459,2,1.6583123951777,1,0,0,1,0
"1014",3.46410161513775,0,0.854400374531753,1,0,1,0,0
"1015",3.87298334620742,2,2.23606797749979,1,1,0,0,0
"1016",2.82842712474619,1.4142135623731,1.25299640861417,1,0,1,0,0
"1017",4.12310562561766,1.73205080756888,2.23606797749979,0,1,0,0,0
"1018",4.47213595499958,1.73205080756888,1.21655250605964,0,0,1,0,0
"1019",4.24264068711928,1.73205080756888,2.07364413533277,1,1,0,0,0
"1020",2.23606797749979,2,1.15758369027902,1,0,1,0,0
"1021",0,0,0.824621125123532,1,0,0,1,0
"1022",2.82842712474619,1.73205080756888,2.23606797749979,1,1,0,0,0
"1025",1,2,2.23606797749979,0,1,0,0,0
"1027",3.74165738677394,1.73205080756888,1.99248588451713,1,1,0,0,0
"1028",2.64575131106459,1.73205080756888,0.99498743710662,0,0,0,1,0
"1031",1.73205080756888,1.73205080756888,2.23606797749979,0,1,0,0,0
"1032",4.47213595499958,1.4142135623731,1.62480768092719,1,1,0,0,0
"1033",4.47213595499958,0,1.3490737563232,1,0,1,0,0
"1034",3.46410161513775,2,2.23606797749979,1,1,0,0,0
"1035",3.3166247903554,1.4142135623731,1.48323969741913,0,0,0,1,0
"1036",1.4142135623731,1.4142135623731,1.88148877222268,1,0,1,0,0
"1037",2.44948974278318,1.4142135623731,0.748331477354788,1,1,0,0,0
"1038",3.46410161513775,1.73205080756888,0,1,0,0,1,0
"1039",4.47213595499958,2,1.94935886896179,0,1,0,0,0
"1040",3.46410161513775,2,1.9157244060668,1,0,0,0,1
"1041",0,2,2.23606797749979,1,0,1,0,0
"1042",4.47213595499958,1,1.13578166916005,0,1,0,0,0
"1043",2.23606797749979,1.73205080756888,1.6583123951777,0,0,0,1,0
"1044",2.44948974278318,2,1.84390889145858,1,1,0,0,0
"1048",1.4142135623731,1.73205080756888,2.23606797749979,0,0,1,0,0
"1049",4.47213595499958,1.73205080756888,0.91104335791443,0,0,0,0,1
"1050",4.47213595499958,2,1.40712472794703,1,1,0,0,0
"1051",3,2,2.23606797749979,1,0,1,0,0
"1053",4.24264068711928,2,1.50996688705415,0,0,1,0,0
"1054",4.47213595499958,1.4142135623731,1.13578166916005,0,1,0,0,0
"1055",3.60555127546399,1,0.565685424949238,0,0,1,0,0
"1056",3,1,0.866025403784439,0,0,1,0,0
"1059",3.3166247903554,2,2.05669638012031,0,0,0,0,1
"1060",3.74165738677394,2,2.23606797749979,1,1,0,0,0
"1062",2.44948974278318,1,1.25299640861417,1,0,1,0,0
"1063",3.60555127546399,1.73205080756888,2.23606797749979,0,1,0,0,0
"1064",2.44948974278318,0,0.793725393319377,1,0,1,0,0
"1065",1.4142135623731,1,1.99248588451713,1,1,0,0,0
"1067",3.87298334620742,2,1.64924225024706,1,1,0,0,0
"1068",3.87298334620742,0,0.964365076099296,0,1,0,0,0
"1069",3.3166247903554,2,2.23606797749979,1,1,0,0,0
